"Sans Nom";"";"";"1";"1";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"1";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
" ";"";"";"1";"1";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"1";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CAVALERIE / ESSAI DE MISE AU POINT ";"";"A.A.";"1";"1";"acheté 30 fr chez un bouqu années 80";"";"1903    ";"PARIS / BERGER - LEVRAULT";"";"66";"16 x 25";"RELIE / BON ETAT";"D 2";"";"";"EPOQUE ENTRE GUERRE DE 70 ET GUERRE DE 14";"ETUDE";"EMPLOI DE LA CAVALERIE / CHARGES / MELEE / ";"RECONNAISSANCES ";"";"";"";"";"";"";"1985    ";"80";"BOUQUINISTE  NANCY";"";"";"";"";"";"";"";"";"";"";"";"";"";"ETUDE REALISEE PAR UN OFFICIER DE CAVALERIE , SUR LA DOCTRINE D'EMPLOI FUTURE DE LA CAVALERIE

L'auteur analyse divers combats de cavalerie de la guerre de 1870 , étudie si les tactiques du 1er EMPIRE  seraient applicables de nos jours , essaie de dessiner une doctrine d'emploi future . 

OUVRAGE TRES INTERESSANT 

SANS ILLUSTR NI CARTE  ";"";"";"";"";"";"";"";"";"";""
"LE 8° REGIMENT DE HUSSARDS ";"SOUVENIRS ET ANECDOTES  1793 - 1993";"ALAZET  Robert ";"1";"1";"";"";"2008    ";"";"";"0";"";"";"J 4";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"VOIR FICHE A CE TITRE EN SERIE  HMRE ";"";"";"";"";"";"";"";"";"";""
"LA CAMPAGNE DE TUNISIE EN 1943 ";"";"ANDRE  Thomas ";"1";"1";"acheté neuf 79 fr vers 1995";"100";"1993    ";"PARIS/ SOCOMER";"LES GRANDES BATAILLES DE L'HISTOIRE";"81";"16.5 X 24";"BROCHE / EXCELLENT ";"K 3";"";"";"SECONDE GUERRE MONDIALE ";"OPERATIONS";"CAMPAGNE DE TUNISIE  1943";"LIGNE MARETH / KASSERINE ";"ROMMEL / VON ARNIM / JUIN / LECLERC/";"MONTGOMERY / PATTON ";"";"";"";"";"1995    ";"50";"LIBRAIRIE  ( Paris ou Lons ) ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE  ++++";"CARTES +++";"";"";"OUVRAGE FAISANT PARTIE D UNE SERIE PERIODIQUE PUBLIEE DANS LES ANNEES 1990
INTITULEES  :coma:  LES GRANDES BATAILLES DE L'HISTOIRE :coma: 
( J'ai aussi dans la même série des ouvrages comme  Auerstaedt , Wagram , Hanau  etc...   :coma: 

CES PUBLICATIONS SONT TOUJOURS TRES INTERESSANTES . 

EN L' OCCURRENCE POINT COMPLET SUR LA CAMPAGNE DE TUNISIE ET LES OPERATIONS SUR LA LIGNE MARETH  , KASSERINE  ETC....

NOMBREUSES PHOTOS  N ET BLANC TRES INTERESSANTES /  NOMBREUSES CARTES ";"";"";"";"";"";"";"";"";"";""
"LA GRANDE GUERRE  1914 - 1918";"";"AUDOUIN-ROUZEAU  Stephane";"1";"1";"acheté neuf env 60 fr vers 2005";"";"1998    ";"PARIS / GALLIMARD";"DECOUVERTES GALLIMARD ";"160";"13 X 18";"BROCHE/ NEUF / EXCELLENT";"C 1";"";"";"GUERRE  1914 - 1918 ";"ETUDE";"";"";"";"";"";"";"";"";"2004    ";"40";"PARIS / BIBL MUSEE DE L ARMEE";"";"";"";"";"";"";"";"";"";"";"";"";"";"PETIT BOUQUIN EXCELLENT DE L EXCELLENTE COLLECTION   DECOUVERTES GALLIMARD 

RESUME DE L HISTOIRE ,  AVEC D INNOMBRABLES ILLUSTRATIONS TRES SOUVENT INEDITES ? TRES BIEN CHOISIES ET TRES EVOCATRICES . ";"";"";"";"";"";"";"";"";"";""
"LE RHIN ET LA FRANCE ";"";"AULNEAU   J. ";"1";"1";"acheté qq euros sur une brocante en 2008";"";"1921    ";"PARIS / PLON ";"";"385";"11.5 X 18.5";"BROCHE / BON ETAT";"J 6 ";"";"";"";"ETUDE HISTORIQUE ";"LE RHIN ";"";"";"";"";"";"";"";"2008    ";"20";"BROCANTE ";"";"";"";"";"";"";"";"";"";"";"";"";"";"L AUTEUR ANALYSE LES VICISSITUDES DES COMBATS ET DES OCCUPATIONS DES TERRITOIRES RHENANS DEPUIS LA GAULE A NOS JOURS . 

SEMBLE TRES INTERESSANT ( je ne l'ai pas encore lu ) 

SANS ILLUSTR. NI CARTE ";"";"";"";"";"";"";"";"";"";""
"FOCH";"";"AUTIN Jean ";"1";"1";"acheté env 30 fr sur une brocante en 2009";"";"1987    ";"PARIS / LIB.AC.  PERRIN";"";"430";"14 x 20.5";"RELIE / PARFAIT ETAT ";"C 4";"";"";"GUERRE 1914 -  1918  ";"BIOGRAPHIE ";"MARECHAL FOCH";"";"";"";"";"";"";"";"2009    ";"50";"BROCANTE ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE     ++";"CARTES   +++";"BIBLIOGRAPHIE   :       ++++";"IINDEX  ++++";"BELLE BIOGRAPHIE QUI SEMBLE TTRES INTERESSANTE SUR CE GRAND MARECHAL 

( je n'ai fait que la parcourir pour le moment )

BIOGR TRES COMPLETE  /  INDEX DES NOMS TRES COMPLET 

UN CAHIER DE PHOTOS N ET BLANC .  PLUSIEURS CARTES N ET BLANC 

GENEALOGIE DE LA FAMILLE EN P JUST.";"";"";"";"";"";"";"";"";"";""
"LA LEGION ETRANGERE EN ESPAGNE 1835 -1839";"";"AZAN  Capitaine Paul --";"1";"1";"donné  ( fonds Azan )";"";"1880    ";"PARIS / LAVAUZELLE";"";"756";"17 X 26";"BROCHE / T BON ETAT";"D 2";"";"";"";"HISTORIQUE REGIMENTAIRE / OPERATION";"ESPAGNE  1835  à  1839";"";"";"";"";"";"";"";"1982    ";"800";"LONS ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE +";"CARTES +++";"";"";"OUVRAGE ECRIT PAR LE FUTURE GENERAL AZAN ,   ALORS CAPITAINE DETACHE A LA SHEM

OUVRAGE DE REFERENCE SUR EL SUJET COMME TOUS LES OUVRAGES EMANANT DE LA SHEM

Cet ouvrage m'a été donné par Françoise Gaerminck lors de la vente par ses parents de l'ancienne 
résidence du général Azan , route de Montaigu à Lons le Saunier . 

Qq  illustr. sans grand intérêt  .    Plusieurs CARTES TRES P¨RECISES .  ";"";"";"";"";"";"";"";"";"";""
"LA REPRISE DE LA QUESTION  D' ALESIA EN 1905";"";"AZAN  Lieutenant  Paul --       de la  SHEM ";"1";"1";"";"";"";"";"";"0";"";"";"Q 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"JE FAIS UN RAPPEL ICI DE CETTE PLAQUETTE   CLASSEE EN SERIE FRANCHE COMTE  FC ";"";"";"";"";"";"";"";"";"";""
